date,ICO composite indicator,"Colombian
 Milds",Other Milds,"Brazilian
 Naturals",Robustas
1990-01-01,62.75,82.07,76.02,70.36,49.47
1990-02-01,67.01,91.55,83.95,77.59,50.06
1990-03-01,75.25,103.24,94.73,86.17,55.76
1990-04-01,75.34,101.79,94.71,87.45,55.95
1990-05-01,73.30,99.14,92.97,86.31,53.62
1990-06-01,69.91,96.01,89.15,82.94,50.67
1990-07-01,68.36,92.45,86.65,78.94,50.07
1990-08-01,74.10,103.30,94.43,90.25,53.78
1990-09-01,75.55,102.21,95.39,92.20,55.70
1990-10-01,73.89,97.20,91.58,85.78,56.21
1990-11-01,70.10,92.38,84.72,77.46,55.48
1990-12-01,72.83,97.06,89.18,80.17,56.46
1991-01-01,69.38,91.55,85.93,75.59,52.83
1991-02-01,70.55,94.21,89.21,79.39,51.87
1991-03-01,72.47,99.36,93.56,83.83,51.37
1991-04-01,71.45,97.27,91.96,81.58,50.93
1991-05-01,67.47,91.51,87.88,75.56,47.06
1991-06-01,65.58,90.18,85.78,72.44,45.38
1991-07-01,64.31,88.02,83.24,69.24,45.38
1991-08-01,63.34,88.09,81.77,68.15,44.90
1991-09-01,66.86,91.95,87.06,75.08,46.66
1991-10-01,62.83,82.88,79.77,65.91,45.88
1991-11-01,64.30,82.43,78.20,66.03,50.40
1991-12-01,63.07,79.70,75.35,62.14,50.79
1992-01-01,61.12,78.40,73.41,62.03,48.83
1992-02-01,55.51,71.75,68.45,58.05,42.57
1992-03-01,56.48,73.67,70.37,59.60,42.59
1992-04-01,53.64,69.55,65.92,54.94,41.36
1992-05-01,49.27,64.93,60.86,51.11,37.68
1992-06-01,48.13,64.10,59.09,49.08,37.17
1992-07-01,48.70,62.50,58.20,48.53,39.19
1992-08-01,45.89,56.49,52.93,46.40,38.85
1992-09-01,47.11,56.18,53.23,49.43,40.98
1992-10-01,52.88,64.77,61.57,59.64,44.19
1992-11-01,57.49,71.72,67.31,64.64,47.67
1992-12-01,64.00,81.52,77.19,74.39,50.81
1993-01-01,58.14,71.61,69.39,67.13,46.90
1993-02-01,57.32,72.45,67.65,66.34,46.99
1993-03-01,54.76,67.07,63.62,62.60,45.90
1993-04-01,51.38,59.77,57.87,54.92,44.88
1993-05-01,54.18,67.35,62.18,57.26,46.17
1993-06-01,54.54,68.13,62.50,55.70,46.57
1993-07-01,60.61,76.40,71.81,65.76,49.40
1993-08-01,67.69,84.18,76.92,73.25,58.46
1993-09-01,71.64,86.58,80.77,75.58,62.50
1993-10-01,67.78,83.02,76.64,71.65,58.92
1993-11-01,70.03,85.56,78.60,74.20,61.46
1993-12-01,71.50,87.33,81.19,74.51,61.81
1994-01-01,69.17,85.85,78.95,71.42,59.39
1994-02-01,72.37,93.04,83.93,80.14,60.80
1994-03-01,76.11,93.23,87.06,84.72,65.16
1994-04-01,81.19,97.53,90.57,87.14,71.82
1994-05-01,108.42,133.90,121.88,118.37,94.95
1994-06-01,127.91,151.85,143.43,136.43,112.38
1994-07-01,191.44,222.75,218.89,211.81,164.00
1994-08-01,181.53,210.61,200.44,192.38,162.61
1994-09-01,202.39,231.52,222.00,212.73,182.78
1994-10-01,185.64,206.07,201.85,191.21,169.43
1994-11-01,168.12,186.96,182.91,172.83,153.33
1994-12-01,149.14,173.94,168.54,159.73,129.73
1995-01-01,152.08,177.23,172.62,162.81,131.54
1995-02-01,152.24,175.07,169.79,161.07,134.69
1995-03-01,162.73,185.75,179.43,171.48,146.03
1995-04-01,159.59,180.30,174.40,166.54,144.78
1995-05-01,155.96,177.18,171.01,161.72,140.90
1995-06-01,141.66,170.89,154.49,145.22,128.82
1995-07-01,132.71,157.22,145.66,139.68,119.76
1995-08-01,141.70,163.21,153.21,149.54,130.18
1995-09-01,124.76,141.49,134.46,130.26,115.05
1995-10-01,120.02,132.08,127.27,127.23,112.76
1995-11-01,117.99,129.09,125.25,125.33,110.73
1995-12-01,99.57,110.47,106.24,110.46,92.89
1996-01-01,100.33,119.08,110.65,127.54,89.99
1996-02-01,110.50,134.94,124.09,144.05,96.89
1996-03-01,105.89,130.60,120.84,140.99,90.94
1996-04-01,107.09,134.31,123.50,132.92,90.67
1996-05-01,110.24,142.56,129.27,134.76,91.20
1996-06-01,105.79,133.25,125.46,125.44,86.11
1996-07-01,99.97,135.39,122.47,106.93,77.46
1996-08-01,102.73,137.68,126.22,108.28,79.22
1996-09-01,96.52,123.30,118.70,103.10,74.34
1996-10-01,98.56,127.77,124.20,105.77,72.92
1996-11-01,97.14,129.41,124.07,103.76,70.20
1996-12-01,90.04,126.41,117.02,103.71,63.06
1997-01-01,100.03,146.18,132.86,127.28,67.19
1997-02-01,121.89,188.62,168.37,160.21,75.40
1997-03-01,137.47,212.96,194.70,179.75,80.23
1997-04-01,142.20,199.22,206.99,183.73,77.39
1997-05-01,180.44,318.50,267.27,209.62,93.60
1997-06-01,155.38,227.15,222.02,184.21,88.74
1997-07-01,135.04,190.57,190.41,158.52,79.65
1997-08-01,132.63,193.46,190.80,158.25,74.45
1997-09-01,132.51,196.29,189.87,167.77,75.15
1997-10-01,121.09,169.40,167.66,152.12,74.52
