,AGO,BOL,BRA,BDI,ECU,IDN,MDG,MWI,PNG,PRY,PER,RWA,TLS,ZWE,COG,CUB,DOM,HTI,PHL,TZA,ZMB,BEN,CMR,CAF,COL,COD,CRI,CIV,SLV,GNQ,ETH,GAB,GHA,GTM,GIN,GUY,HND,IND,JAM,KEN,LAO,LBR,MEX,NPL,NIC,NGA,PAN,SLE,LKA,THA,TGO,TTO,UGA,VEN,VNM,YEM
1901,78.029625,89.817726,147.83461,88.63421,176.33224,227.73083,121.32298,83.41737,301.5856,83.91946,127.6496,90.92136,137.8631,66.51973,125.62273,146.1307,145.06667,153.45958,202.57095,65.464745,83.015884,99.76564,133.73436,113.51969,216.28247,123.467186,263.6435,119.623764,147.26282,187.24362,61.674217,143.28265,94.57079,211.55371,186.03267,178.80893,166.87575,78.79487,191.90334,50.48391,145.44077,244.19516,53.69402,106.04533,208.1927,101.58129,229.61319,319.40405,107.37843,142.7076,96.82191,151.04333,78.194824,156.64845,147.06902,13.775259
1902,78.282394,88.64737,146.87148,88.10351,155.96631,197.49951,115.03129,96.951294,253.97754,91.128456,125.277565,102.589066,103.67857,51.544983,131.70474,98.9825,114.25456,118.63249,202.30904,76.77386,86.23629,82.38947,140.61757,113.01979,200.2991,126.87355,205.15833,114.756546,147.26282,214.23381,59.681793,146.39528,90.25755,204.93095,159.6814,204.11366,165.81071,84.403305,135.01418,57.791595,154.46065,221.52617,50.424503,114.29796,179.72318,101.029434,207.43294,270.21982,163.26323,130.59244,90.99905,133.44833,103.32063,155.51633,159.50072,13.6141615
1903,80.56601,93.32456,145.65738,107.2057,153.19087,231.11081,123.90298,75.829346,240.97583,96.032104,125.547485,110.919785,127.78274,43.6631,144.13707,107.29226,122.35403,125.347084,189.84505,89.1184,74.615135,78.498825,134.3707,112.905174,209.78256,128.96094,240.15234,114.647415,147.26282,191.24951,74.47533,157.0352,84.88941,202.50877,159.34584,212.7172,166.24954,91.74327,150.85167,54.328125,141.85315,207.33867,55.963585,112.84737,197.98438,97.36379,219.89787,256.26486,126.17965,126.45007,85.67952,138.76334,107.256226,159.41158,147.9192,13.601555
1904,73.865105,87.15885,146.21407,97.44649,164.34943,231.68335,120.97573,109.03098,262.18848,89.36283,125.32361,100.572395,150.20596,55.066765,127.88607,123.54976,127.36882,146.635,224.44522,96.43379,83.0807,73.9402,129.53915,105.611,213.04118,124.520706,212.82812,112.00148,147.26282,181.96225,59.88612,145.78491,80.48684,208.61919,166.61682,185.27853,166.32396,80.09796,191.46916,56.054382,160.03761,204.70483,55.009674,104.551834,187.25781,95.83896,208.56279,253.33064,115.19118,144.08015,78.52571,141.985,94.75914,159.998,165.86374,13.441969
1905,73.36043,92.15697,149.6171,103.49254,143.9284,217.86116,138.27562,94.03087,235.86238,103.32401,123.4672,105.74062,120.22322,41.731678,126.19077,114.00596,127.72661,137.56041,176.75168,92.13178,74.22519,81.0826,138.3699,111.71875,215.14865,124.72815,255.87785,117.22611,147.26282,197.52353,61.21273,141.57274,84.3366,211.21101,168.8483,171.56882,166.92113,78.16679,227.405,59.94558,148.39104,216.1655,61.118702,107.90853,208.05559,111.57816,224.7465,263.64078,106.60294,138.62598,92.98333,141.425,96.06044,158.46402,154.5455,13.776987
1906,81.684944,88.76628,147.4343,86.87719,150.82571,239.44006,131.80797,87.224884,265.66882,71.058945,124.281265,84.39583,120.30178,54.02485,130.32231,163.04321,119.6172,142.73416,219.56438,95.948494,71.07403,88.31593,135.24113,110.61312,214.89029,123.93324,223.0409,141.82216,147.26282,172.83481,66.7321,131.53244,108.936844,207.94926,183.9398,195.34175,166.32365,88.11647,255.63416,65.70492,136.93285,234.8695,57.21757,108.948166,191.82956,104.776306,211.76047,274.56354,131.72035,129.86555,93.78095,121.971664,97.11845,152.50552,143.53175,13.415327
1907,75.55528,90.94412,148.6139,99.380264,167.88116,228.9014,123.4624,94.03169,266.87775,91.53783,128.94345,108.260414,134.90298,68.76401,129.05602,79.468575,119.39758,116.92916,189.26474,74.744934,79.37161,85.753654,117.09971,108.938576,225.72371,124.787766,181.70677,124.9129,147.26282,167.26863,59.14439,144.32584,88.81059,213.00833,146.37521,216.44742,166.30179,81.79079,107.081665,54.664978,141.97311,228.50867,53.256702,107.39187,179.33516,85.51372,194.29845,261.33942,140.72574,134.514,84.145004,127.42833,94.02581,153.74069,146.6293,13.586528
1908,79.05168,88.25069,146.2173,91.55395,182.43333,231.95114,128.64206,95.610794,299.86035,96.65867,129.30983,89.02812,129.28096,48.47776,120.11098,114.48619,110.264786,114.26167,222.4078,84.63135,79.01715,88.93655,129.26157,109.74916,227.31758,117.78235,250.20755,139.0076,147.26282,180.23775,66.942245,142.4883,108.28871,207.60774,183.32523,202.29219,166.49643,89.10719,148.75749,56.474464,152.03137,266.4095,52.23977,96.16443,201.6375,100.77553,224.94553,282.55676,103.599266,160.825,96.148094,148.92166,92.863594,168.98569,160.32405,13.839551
1909,89.592445,90.39095,142.02567,74.06754,178.54898,247.80305,107.297325,69.95669,284.97128,78.343704,127.37008,83.77239,109.941666,53.023846,147.11594,143.34428,132.07742,163.815,219.65596,62.905342,67.981964,96.661255,139.42328,119.46842,219.20328,124.65491,281.43567,140.28117,147.26282,209.85442,67.85317,159.30586,112.053116,211.65239,167.74933,214.1835,167.05179,92.46664,317.57416,53.648308,158.94888,220.15067,51.8693,151.64258,215.28113,110.98759,236.75388,249.2714,124.3848,143.94891,97.79833,141.59833,96.457115,157.88521,163.29367,13.529663
1910,80.32159,88.94806,145.2339,58.09649,158.3908,253.14177,117.712364,88.37395,250.53291,83.71463,126.036026,49.438023,136.28513,52.763905,129.49916,110.99477,126.41801,136.55124,231.8989,73.71536,79.52556,93.15044,127.81195,106.93929,235.44809,121.24072,211.762,152.81766,147.26282,204.05147,62.094666,131.72162,122.0,212.5101,165.49234,223.77121,166.38943,95.00166,217.20418,49.657402,151.00105,226.13101,52.53255,128.06403,188.98256,94.31584,206.78352,233.25247,121.78259,151.47891,108.11405,134.65334,79.03495,165.45396,154.63257,13.735319
