,AGO,BOL,BRA,BDI,ECU,IDN,MDG,MWI,PNG,PRY,PER,RWA,TLS,ZWE,COG,CUB,DOM,HTI,PHL,TZA,ZMB,BEN,CMR,CAF,COL,COD,CRI,CIV,SLV,GNQ,ETH,GAB,GHA,GTM,GIN,GUY,HND,IND,JAM,KEN,LAO,LBR,MEX,NPL,NIC,NGA,PAN,SLE,LKA,THA,TGO,TTO,UGA,VEN,VNM,YEM
1901,21.619059,21.57838,24.896547,20.382895,21.893261,25.897385,22.991997,21.35669,25.309772,24.02803,19.683598,18.663021,25.382143,21.239357,24.470938,24.693453,23.941128,24.307083,26.109781,22.344885,21.574623,27.119736,24.776066,24.906477,24.604921,23.909729,24.7625,26.196789,24.753206,24.384804,23.137266,24.819895,26.817287,23.42887,26.076412,25.689861,23.746578,23.736393,24.583332,24.43046,23.554132,25.696167,20.5281,12.627235,24.95,26.67569,25.213566,26.67838,26.7625,26.43372,26.766666,25.951666,22.48568,25.327549,24.129597,23.873058
1902,21.620358,21.419336,25.09181,20.382895,21.893261,25.891254,23.347422,21.709507,25.309584,24.114868,19.674818,18.663021,25.379168,21.546436,24.470781,24.928928,23.768011,24.222918,26.026447,22.389864,21.753736,27.310232,24.774754,24.887566,24.599943,23.924086,24.77526,26.36821,24.846153,24.384804,22.98051,24.818018,26.985981,23.555655,26.329615,25.659878,23.906399,23.920109,24.653334,24.461529,23.739426,25.633835,20.804192,12.624289,25.048046,26.748623,25.213566,26.538513,26.605885,26.34615,26.957859,25.9,22.50008,25.287296,24.392673,23.721502
1903,21.761902,20.972332,24.896107,20.382895,21.893261,25.89029,23.093418,21.858215,25.329773,23.415388,19.518356,18.663021,25.542858,21.726206,24.55385,24.803095,23.87715,24.244583,25.629253,22.409315,21.885994,27.526316,24.814695,24.883171,24.603733,23.96479,24.775,26.426296,24.847437,24.47598,23.032887,24.915691,27.194626,23.562202,26.08631,25.746735,23.907143,23.434696,24.541668,24.509483,23.252731,25.692001,20.176123,12.597053,25.051823,26.810068,25.213566,26.558558,26.634806,25.915232,27.17738,25.945002,22.531391,25.32236,23.91183,23.51835
1904,21.58768,20.777515,24.527473,20.382895,21.893261,25.81223,23.037136,21.190023,24.918598,23.281487,19.434294,18.663021,25.205952,20.781176,24.410074,24.747501,23.558603,24.061666,24.945526,22.321712,21.323898,27.51886,24.712727,24.870344,24.59604,23.89545,24.765886,26.3129,24.766666,24.266666,22.92126,24.712086,27.203583,23.44628,25.94598,25.457989,23.78363,23.456589,24.576666,24.43549,23.088375,25.409832,20.640743,12.428252,24.97565,26.772009,25.213566,26.204052,26.126715,25.71201,27.17857,25.838333,22.481958,25.243626,23.798132,23.566149
1905,21.658384,21.292511,24.840496,20.382895,21.893261,25.89114,23.114254,21.767136,25.170416,23.47912,19.630037,18.663021,25.593452,21.535593,24.631594,25.207857,23.936829,24.45625,25.338947,22.397078,21.760672,27.174267,24.878162,24.916145,24.601528,23.95455,24.769793,26.208456,24.821154,24.62353,22.98456,25.056381,26.841976,23.513988,26.086384,25.438488,23.929762,23.26614,24.942501,24.484375,23.887115,25.6255,20.437515,11.739126,25.073828,26.633856,25.213566,26.576801,26.553186,26.784348,26.830952,25.906668,22.51173,25.28347,24.370163,23.696545
1906,21.613375,21.168934,24.773937,20.382895,21.893261,25.93108,23.132044,21.407042,25.397879,24.13196,19.544947,18.663021,25.808334,20.896938,24.562395,24.754406,23.730646,24.196249,25.620264,22.353197,21.420053,27.957163,24.872128,24.90993,24.599247,23.93017,24.739323,26.44852,24.609615,24.544117,23.038609,24.954504,27.36137,23.246725,26.110493,25.280756,23.672024,23.591291,24.624166,24.48003,23.914215,25.727667,20.484625,12.476016,24.910286,27.075878,25.213566,26.618244,26.590443,26.814356,27.551428,25.89,22.512865,25.26102,24.40546,23.583118
1907,21.520582,20.868528,24.726265,20.382895,21.893261,25.845016,23.040806,21.314436,25.055416,23.724905,19.513916,18.663021,25.417263,20.632832,24.53365,24.982975,23.631184,24.195,25.285877,22.338173,21.278091,27.517105,24.832142,24.897785,24.594797,23.905848,24.754948,26.44284,24.678205,24.520098,22.758373,24.927479,27.222662,23.337797,25.933334,25.348969,23.739435,23.406996,24.785833,24.393068,23.319538,25.634167,20.793425,12.226016,24.951172,26.811443,25.213566,26.484009,26.304165,25.926823,27.177618,25.825,22.454206,25.230465,24.006083,23.387306
1908,21.585794,20.910484,24.891228,20.382895,21.893261,25.859482,23.336971,21.680164,25.075455,23.741098,19.508732,18.663021,25.475,21.35005,24.399946,24.918453,23.904034,24.363333,25.332676,22.38653,21.640108,27.500439,24.711864,24.863054,24.60183,23.913748,24.753124,26.338766,24.684616,24.257843,23.20292,24.7012,27.18575,23.333483,26.070536,25.351376,23.736607,23.49384,24.7575,24.562176,23.381163,25.508501,20.7322,12.782012,24.947918,26.761562,25.213566,26.34347,26.35049,26.014847,27.174524,25.923334,22.569742,25.286158,24.020594,23.786875
1909,21.53252,20.793913,24.801495,20.382895,21.893261,25.884674,22.988327,21.609623,25.625492,23.462784,19.410969,18.663021,25.530952,21.078865,24.645464,24.749643,23.561022,24.057499,25.47829,22.376003,21.483494,27.330994,24.913754,24.931217,24.595833,23.92715,24.767708,26.351236,24.776922,24.693628,22.583858,25.093468,27.075312,23.466965,26.070385,25.469072,23.831844,23.411587,24.569166,24.299389,23.561134,25.58,20.603695,12.904979,25.000912,26.733927,25.213566,26.44347,26.255392,26.097443,27.000477,25.841665,22.38932,25.245583,24.209051,23.52146
1910,21.496952,20.919163,24.767641,20.382895,21.775507,25.87435,22.898314,21.329226,25.560265,23.765673,19.145975,18.663021,25.482143,20.66757,24.386076,24.20393,23.454033,23.881666,25.338114,22.34532,21.314596,27.753656,24.725164,24.760742,24.594814,23.867268,24.691406,26.552837,24.215384,24.25049,23.19371,24.68266,27.388163,22.73988,26.22515,25.36134,23.267262,23.273823,24.2925,24.57324,23.304062,25.744665,20.479698,12.201423,24.657421,26.908335,25.213566,26.629053,26.586765,25.898565,27.407858,25.918331,22.545065,25.246471,23.980364,23.548014
